frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
0,0,,,,,,,,,,,,,,,,,,,,,,,look,mouse_left,1,-1
1,33,,,,,,,,,,,,,,,,,,,,,,,,mouse_left,0,0
2,67,,,,,,,,,,,,,,,,,,,,,,,,mouse_left,0,0
3,100,,,,,,,,,,,,,,,,,,,,,,,,mouse_left,0,0
4,133,,,,,,,,,,,,,,,,,,,,,,,,,0,0
5,167,,,,,,,,,,,,,,,,,,,,,,,,,0,0
6,200,,,,,,,,,,,,,,,,,,,,,,,,,0,0
7,233,,,,,,,,,,,,,,,,,,,,,,,,,0,0
8,267,,,,,,,,,,,,,,,,,,,,,,,,,0,0
9,300,,,,,,,,,,,,,,,,,,,,,,,,,0,0
10,333,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11,367,,,,,,,,,,,,,,,,,,,,,,,,,0,0
12,400,,,,,,,,,,,,,,,,,,,,,,,,,0,0
13,433,,,,,,,,,,,,,,,,,,,,,,,,,0,0
14,500,,,,,,,,,,,,,,,,,,,,,,,,,0,0
15,533,,,,,,,,,,,,,,,,,,,,,,,,,0,0
16,567,,,,,,,,,,,,,,,,,,,,,,,,,0,0
17,600,,,,,,,,,,,,,,,,,,,,,,,,,0,0
18,633,,,,,,,,,,,,,,,,,,,,,,,,,0,0
19,667,,,,,,,,,,,,,,,,,,,,,,,,,0,0
20,700,,,,,,,,,,,,,,,,,,,,,,,,,0,0
21,733,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22,767,,,,,,,,,,,,,,,,,,,,,,,,,0,0
23,800,,,,,,,,,,,,,,,,,,,,,,,,,0,0
24,833,,,,,,,,,,,,,,,,,,,,,,,,,0,0
25,867,,,,,,,,,,,,,,,,,,,,,,,,,0,0
26,900,,,,,,,,,,,,,,,,,,,,,,,,,0,0
27,933,,,,,,,,,,,,,,,,,,,,,,,,,0,0
28,1000,,,,,,,,,,,,,,,,,,,,,,,,,0,0
29,1033,,,,,,,,,,,,,,,,,,,,,,,,,0,0
30,1067,,,,,,,,,,,,,,,,,,,,,,,,,0,0
31,1100,,,,,,,,,,,,,,,,,,,,,,,,,0,0
32,1133,,,,,,,,,,,,,,,,,,,,,,,,,0,0
33,1167,,,,,,,,,,,,,,,,,,,,,,,,,0,0
34,1200,,,,,,,,,,,,,,,,,,,,,,,,,0,0
35,1233,,,,,,,,,,,,,,,,,,,,,,,look,,17,5
36,1300,,,,,,,,,,,,,,,,,,,,,,,look,,38,15
37,1333,,,,,,,,,,,,,,,,,,,,,,,look,,49,20
38,1367,,,,,,,,,,,,,,,,,,,,,,,look,,64,24
39,1400,,,,,,,,,,,,,,,,,,,,,,,look,,69,23
40,1433,,,,,,,,,,,,,,,,,,,,,,,look,,50,11
41,1467,,,,,,,,,,,,,,,,,,,,,,,look,,36,3
42,1500,,,,,,,,,,,,,,,,,,,,,,,look,,18,4
