frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1,33,,,,,,,,,,,,,,,,,,,,,,enter,,,0,0
2,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0
3,133,,,,,,,,,,,,,,,,,,,,,,,,,0,0
4,167,,,,,,,,,,,,,,,,,,,,,,enter,,,0,0
5,233,,,,,,,,,,,,,,,,,,,,,,enter,,,0,0
6,267,,,,,,,,,,,,,,,,,,,,,,enter,,,0,0
7,300,,,,,,,,,,,,,,,,,,,,,,,,,0,0
8,333,,,,,,,,,,,,,,,,,,,,,,,,,0,0
9,367,,,,,,,,,,,,,,,,,,,,,,,,,0,0
10,400,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11,433,,,,,,,,,,,,,,,,,,,,,,,,,0,0
12,467,,,,,,,,,,,,,,,,,,,,,,,,,0,0
13,500,,,,,,,,,,,,,,,,,,,,,,,,,0,0
14,533,,,,,,,,,,,,,,,,,,,,,,,,,0,0
15,600,,,,,,,,,,,,,,,,,,,,,,,,,0,0
16,633,,,,,,,,,,,,,,,,,,,,,,,,,0,0
17,667,,,,,,,,,,,,,,,,,,,,,,,,,0,0
18,700,,,,,,,,,,,,,,,,,,,,,,,,,0,0
19,733,,,,,,,,,,,,,,,,,,,,,,,,,0,0
20,767,,,,,,,,,,,,,,,,,,,,,,,,,0,0
21,800,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22,833,,,,,,,,,,,,,,,,,,,,,,,,,0,0
23,867,,,,,,,,,,,,,,,,,,,,,,,,,0,0
24,900,,,,,,,,,,,,,,,,,,,,,,,,,0,0
25,933,,,,,,,,,,,,,,,,,,,,,,,,,0,0
26,967,,,,,,,,,,,,,,,,,,,,,,,,,0,0
27,1000,,,,,,,,,,,,,,,,,,,,,,,,,0,0
28,1067,,,,,,,,,,,,,,,,,,,,,,,,,0,0
29,1100,,,,,,,,,,,,,,,,,,,,,,,,,0,0
30,1133,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,3,-10
31,1167,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,0,-2
32,1200,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,0,-1
33,1233,,,,,,,,,,,,,,,,,,,,,,,,,0,0
34,1300,,,,,,,,,,,,,,,,,,,,,,,,,0,0
35,1333,,,,,,,,,,,,,,,,,,,,,,,,,0,0
36,1367,,,,,,,,,,,,,,,,,,,,,,,,,0,0
37,1400,,,,,,,,,,,,,,,,,,,,,,,,,0,0
38,1433,,,,,,,,,,,,,,,,,,,,,,,,,0,0
39,1467,,,,,,,,,,,,,,,,,,,,,,,,,0,0
