frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,camera_radial_k1,camera_radial_k2,camera_radial_k3,camera_radial_k4,camera_radial_k5,camera_radial_k6,camera_tangential_p1,camera_tangential_p2,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left,0.0,0.0
1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left,0.0,0.0
2,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,Left,2.0,0.0
3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left,0.0,0.0
4,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left,0.0,0.0
5,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left,0.0,0.0
6,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
7,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
8,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
9,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
10,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
11,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
12,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
13,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
14,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
15,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
16,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
17,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
18,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
19,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
20,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
21,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
22,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-1.0,-1.0
23,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-16.0,-3.0
24,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-39.0,-8.0
25,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-72.0,-14.0
26,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-91.0,-12.0
27,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-77.0,-7.0
28,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-36.0,-10.0
29,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-2.0,-4.0
30,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-21.0,-15.0
31,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-29.0,-19.0
32,1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-26.0,-30.0
33,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-13.0,-20.0
34,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-8.0,-18.0
35,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-5.0,-12.0
36,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,-2.0,-10.0
37,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,0.0,-16.0
38,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,1.0,-14.0
39,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,2.0,-8.0
40,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,0.0,-5.0
41,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,0.0,-17.0
42,1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,0.0,-4.0
43,1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,0.0,-3.0
44,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,0.0,-1.0
45,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,0.0,-3.0
46,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,0.0,-3.0
47,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
48,1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
49,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
50,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
51,1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
52,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
53,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
54,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
55,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
56,2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
57,2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left,0.0,0.0
58,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,Left,1.0,-1.0
59,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left,0.0,0.0
60,2167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left,0.0,0.0
61,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left,0.0,0.0
62,2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
63,2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
64,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
65,2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
66,2367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
67,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
68,2433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
69,2467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
70,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
71,2533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
72,2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
73,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
74,2633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
75,2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
76,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
77,2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
78,2767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
79,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
80,2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
81,2867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
82,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
83,2933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
84,2967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
85,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
86,3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
87,3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
88,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
89,3133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
90,3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
91,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
92,3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
93,3267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
94,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
95,3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,17.0,5.0
96,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,38.0,15.0
97,3433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,49.0,20.0
98,3467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,64.0,24.0
99,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,69.0,23.0
100,3533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,50.0,11.0
101,3567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,36.0,3.0
102,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,18.0,4.0
103,3633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,2.0,0.0
104,3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
105,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
106,3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
