frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,camera_radial_k1,camera_radial_k2,camera_radial_k3,camera_radial_k4,camera_radial_k5,camera_radial_k6,camera_tangential_p1,camera_tangential_p2,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
4,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
5,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
6,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
7,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
8,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
9,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
10,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
11,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
12,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
13,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
14,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
15,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
16,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
17,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
18,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
19,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
20,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
21,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
22,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
23,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
24,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
25,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
26,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
27,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
28,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
29,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
30,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
31,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
33,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
34,1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
35,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
36,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
37,1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
38,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
39,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
40,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
41,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
42,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
43,1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
44,1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
45,1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
46,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
47,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
48,1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
49,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
50,1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
51,1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
52,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
53,1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
54,1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
55,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
56,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
57,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
58,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
59,2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
60,2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
61,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
62,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
63,2166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
64,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
65,2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
66,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
67,2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
68,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
69,2433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
70,2466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
71,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
72,2533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
73,2566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
74,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
75,2633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
76,2666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
77,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
78,2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
79,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
80,2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
81,2866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
82,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
83,2933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
84,2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
85,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
86,3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
87,3066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
88,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
89,3133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
90,3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
91,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
92,3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
93,3266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
94,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
95,3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
96,3366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
97,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
98,3433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
99,3466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
100,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
101,3533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
102,3566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
103,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
104,3633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
105,3666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
106,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
107,3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
108,3766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
109,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
110,3833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
111,3866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
112,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
113,3933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
114,3966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
115,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
116,4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
117,4066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
118,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
119,4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
120,4166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
121,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
122,4233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
123,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
124,4333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
125,4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
126,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
127,4433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
128,4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
129,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
130,4533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
131,4566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
132,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
133,4633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
134,4666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
135,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
136,4733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
137,4766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
138,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
139,4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
140,4866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
141,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
142,4933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
143,4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
144,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
145,5033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
146,5066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
147,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,interact,,0.0,0.0
148,5133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
149,5166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
150,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
151,5266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
152,5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
153,5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
154,5366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
155,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
156,5433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
157,5466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
158,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
159,5533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
160,5566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
161,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
162,5633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
163,5666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
